repo,owner
keras,keras-team
scikit-learn,scikit-learn
PythonDataScienceHandbook,jakevdp
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon
spaCy,explosion
ML-From-Scratch,eriklindernoren
go,datasciencemasters
ipython,ipython
Virgilio,virgili0
awesome-datascience,academic
dash,plotly
ray,ray-project
gensim,RaRe-Technologies
python-machine-learning-book,rasbt
stanford-cs-229-machine-learning,afshinea
dive-into-machine-learning,hangtwenty
Awesome-pytorch-list,bharathgs
tflearn,tflearn
awesome-bigdata,onurakpolat
allennlp,allenai
php-ml,php-ai
streamlit,streamlit
gridstudio,ricklamers
mit-deep-learning,lexfridman
data-science,ossu
OpenRefine,OpenRefine
recommenders,microsoft
tpot,EpistasisLab
ds-cheatsheets,FavioVazquez
mlcourse.ai,Yorko
nni,microsoft
python-machine-learning-book-2nd-edition,rasbt
roughViz,jwilber
boltons,mahmoud
pytorch-lightning,PyTorchLightning
industry-machine-learning,firmai
data-science-blogs,rushter
catboost,catboost
dvc,iterative
nteract,nteract
pandas-profiling,pandas-profiling
data-science-from-scratch,joelgrus
featuretools,FeatureLabs
h2o-3,h2oai
smile,haifengl
machine_learning_examples,lazyprogrammer
tsfresh,blue-yonder
Data-Analysis-and-Machine-Learning-Projects,rhiever
Data-Science-Wiki,Leo-G
d2l-en,d2l-ai
edward,blei-lab
pachyderm,pachyderm
imbalanced-learn,scikit-learn-contrib
knowledge-repo,airbnb
stanford-cs-230-deep-learning,afshinea
serenata-de-amor,okfn-brasil
awesome-R,qinwf
rodeo,yhat
DataSciencePython,ujjwalkarn
snorkel,snorkel-team
python-small-examples,jackzhenguo
hydrogen,nteract
courses,DataScienceSpecialization
cookiecutter-data-science,drivendata
Data-Science-Notes,fengdu78
metaflow,Netflix
pyod,yzhao062
Data-Analysis,WillKoehrsen
d2l-pytorch,dsgiitr
spark-notebook,spark-notebook
mlxtend,rasbt
probability,tensorflow
scikit-learn-videos,justmarkham
tensorwatch,microsoft
data-science-at-the-command-line,jeroenjanssens
xlearn,aksnzhy
deep-learning-book,rasbt
shogun,shogun-toolbox
chartify,spotify
python-is-cool,chiphuyen
computervision-recipes,microsoft
Learn_Data_Science_in_3_Months,llSourcell
polyaxon,polyaxon
telegram-list,goq
LearnDataScience,nborwankar
r4ds,hadley
gophernotes,gopherdata
datascience,r0f1
orange3,biolab
autogluon,awslabs
Flux.jl,FluxML
tablesaw,jtablesaw
prefect,PrefectHQ
lgo,yunabe
koalas,databricks
tad,antonycourtney
eli5,TeamHG-Memex
120-Data-Science-Interview-Questions,kojino
tensorflow,tensorflow
keras,keras-team
awesome-machine-learning,josephmisiti
scikit-learn,scikit-learn
pytorch,pytorch
TensorFlow-Examples,aymericdamien
tesseract,tesseract-ocr
face_recognition,ageitgey
caffe,BVLC
faceswap,deepfakes
100-Days-Of-ML-Code,Avik-Jain
julia,JuliaLang
lessons,madewithml
machine-learning-for-software-engineers,ZuzooVn
awesome-deep-learning-papers,terryum
funNLP,fighting41love
handson-ml,ageron
xgboost,dmlc
data-science-ipython-notebooks,donnemartin
fastai,fastai
CNTK,microsoft
openpose,CMU-Perceptual-Computing-Lab
spaCy,explosion
Coursera-ML-AndrewNg-Notes,fengdu78
ML-From-Scratch,eriklindernoren
NLP-progress,sebastianruder
100-Days-Of-ML-Code,MLEveryday
awesome-deep-learning,ChristosChristofidis
cs-video-courses,Developer-Y
lectures,oxford-cs-deepnlp-2017
pwc,zziz
WaveFunctionCollapse,mxgmn
homemade-machine-learning,trekhleb
DeepSpeech,mozilla
cheatsheets-ai,kailashahirwar
Qix,ty4z2008
tfjs,tensorflow
Screenshot-to-code,emilwallner
Virgilio,virgili0
predictionio,apache
awesome-datascience,academic
gun,amark
ray,ray-project
Paddle,PaddlePaddle
pytorch-handbook,zergtant
pumpkin-book,datawhalechina
LightGBM,microsoft
gensim,RaRe-Technologies
python-machine-learning-book,rasbt
awesome-nlp,keon
Machine-Learning-Tutorials,ujjwalkarn
